[75, 0, 0, 0]
[70, 0, 1, 0]
[65, 0, 2, 0]
[65, 1, 0, 0]
[60, 0, 3, 0]
[60, 1, 1, 0]
[55, 0, 4, 0]
[55, 1, 2, 0]
[55, 2, 0, 0]
[50, 0, 5, 0]
[50, 1, 3, 0]
[50, 2, 1, 0]
[50, 0, 0, 1]
[45, 0, 6, 0]
[45, 1, 4, 0]
[45, 2, 2, 0]
[45, 0, 1, 1]
[45, 3, 0, 0]
[40, 0, 7, 0]
[40, 1, 5, 0]
[40, 2, 3, 0]
[40, 0, 2, 1]
[40, 3, 1, 0]
[35, 0, 8, 0]
[35, 1, 6, 0]
[35, 2, 4, 0]
[35, 0, 3, 1]
[35, 3, 2, 0]
[40, 1, 0, 1]
[35, 1, 1, 1]
[35, 4, 0, 0]
[30, 0, 9, 0]
[30, 1, 7, 0]
[30, 2, 5, 0]
[30, 0, 4, 1]
[30, 3, 3, 0]
[30, 1, 2, 1]
[30, 4, 1, 0]
[25, 0, 10, 0]
[25, 1, 8, 0]
[25, 2, 6, 0]
[25, 0, 5, 1]
[25, 3, 4, 0]
[25, 1, 3, 1]
[25, 4, 2, 0]
[30, 2, 0, 1]
[25, 2, 1, 1]
[25, 5, 0, 0]
[25, 0, 0, 2]
[20, 0, 11, 0]
[20, 1, 9, 0]
[20, 2, 7, 0]
[20, 0, 6, 1]
[20, 3, 5, 0]
[20, 1, 4, 1]
[20, 4, 3, 0]
[20, 2, 2, 1]
[20, 5, 1, 0]
[20, 0, 1, 2]
[15, 0, 12, 0]
[15, 1, 10, 0]
[15, 2, 8, 0]
[15, 0, 7, 1]
[15, 3, 6, 0]
[15, 1, 5, 1]
[15, 4, 4, 0]
[15, 2, 3, 1]
[15, 5, 2, 0]
[15, 0, 2, 2]
[20, 3, 0, 1]
[15, 3, 1, 1]
[15, 6, 0, 0]
[15, 1, 0, 2]
[10, 0, 13, 0]
[10, 1, 11, 0]
[10, 2, 9, 0]
[10, 0, 8, 1]
[10, 3, 7, 0]
[10, 1, 6, 1]
[10, 4, 5, 0]
[10, 2, 4, 1]
[10, 5, 3, 0]
[10, 0, 3, 2]
[10, 3, 2, 1]
[10, 6, 1, 0]
[10, 1, 1, 2]
[5, 0, 14, 0]
[5, 1, 12, 0]
[5, 2, 10, 0]
[5, 0, 9, 1]
[5, 3, 8, 0]
[5, 1, 7, 1]
[5, 4, 6, 0]
[5, 2, 5, 1]
[5, 5, 4, 0]
[5, 0, 4, 2]
[5, 3, 3, 1]
[5, 6, 2, 0]
[5, 1, 2, 2]
[10, 4, 0, 1]
[5, 4, 1, 1]
[5, 7, 0, 0]
[5, 2, 0, 2]
[0, 0, 15, 0]
[0, 1, 13, 0]
[0, 2, 11, 0]
[0, 0, 10, 1]
[0, 3, 9, 0]
[0, 1, 8, 1]
[0, 4, 7, 0]
[0, 2, 6, 1]
[0, 5, 5, 0]
[0, 0, 5, 2]
[0, 3, 4, 1]
[0, 6, 3, 0]
[0, 1, 3, 2]
[0, 4, 2, 1]
[0, 7, 1, 0]
[0, 2, 1, 2]
[0, 5, 0, 1]
[0, 0, 0, 3]
